Epoch,Loss,BLEU
1,2.771864175796509,0.0013951247548328193
2,2.0665996074676514,0.011595767593586274
3,1.834559679031372,0.025275180013647862
4,1.6246951818466187,0.03782496103945992
5,1.400739312171936,0.08031917510624977
6,1.1859492063522339,0.11938730410929103
7,1.000617265701294,0.12801942863687021
8,0.8427915573120117,0.1611647214833333
9,0.705571711063385,0.1704474393123065
10,0.5886557698249817,0.17728465598523227
11,0.4872858226299286,0.17862810533260437
12,0.397401362657547,0.20008868169172786
13,0.32080236077308655,0.1805230204543746
14,0.25717225670814514,0.18117851984038127
15,0.20731566846370697,0.1812708801760302
16,0.165274515748024,0.18960141491861957
17,0.1322140395641327,0.1782204014120947
18,0.11028917133808136,0.18893004859483895
19,0.09386135637760162,0.17534691889776718
20,0.0836380273103714,0.19057699478564039
